,Meta,Meta,early Ana,Ana,late Ana,late Ana
Number,T0243.7,T0243.5,T0243.4,T0208.1,T0275_10,T0369_8
all,3662,3812,7011,3317,1511,1306
closer 250nm,1402,1038,6105,2675,1003,801
further,2260,2774,906,642,508,505
,,,,,,
,length,length,length,length,length,length
,1003.6841,2765.9685,1511.9636,4878.6416,9288.9229,7473.9355
,2780.8562,2290.8613,726.33728,1050.6884,11745.7,10698.935
,823.92999,1685.438,5290.8599,1642.4458,7593.2778,9447.0469
,13548.226,3073.0933,2775.9434,3246.5342,4115.293,21601.309
,1290.0314,441.32935,5527.0464,1244.7295,4529.1797,932.64532
,1872.5625,1185.0947,2938.6794,1802.1594,9879.4658,9320.5889
,1388.793,2016.6055,1654.5447,1787.1206,3435.6948,1515.6743
,631.53094,456.40228,5334.3286,1942.4224,4189.4155,12722.429
,8534.3799,2177.9001,11332.348,1901.3842,17482.98,5837.877
,5192.3882,1200.0513,3497.1265,978.02484,10174.926,9912.6172
,5793.4155,387.33899,2392.958,2144.135,9660.8037,2130.7681
,1987.1882,728.41565,940.58527,1084.248,12224.381,3529.9695
,2871.0122,1006.0715,1065.5997,3011.1892,2872.3552,12748.188
,1040.8218,5158.5874,2214.6902,895.51086,6502.2246,8156.335
,1304.4579,1058.3289,2081.9253,1060.2999,15314.124,3946.7505
,1059.7915,1838.9456,3370.7729,627.6311,8514.2568,15036.761
,666.39575,1804.3999,4166.7646,1570.3679,4775.3809,10112.86
,1591.4916,2733.686,1251.6519,994.48444,1891.3635,1009.8965
,757.50525,4875.374,6559.9658,1025.2909,11806.649,2198.1619
,2103.3843,971.96655,3701.2192,826.79309,6171.7583,19692.271
,632.32959,491.88562,3148.731,1318.3313,9843.8145,1773.1726
,939.39807,302.6922,3352.4434,1830.2758,2791.1023,11833.173
,573.58044,5264.3267,833.15381,1414.2,7400.7627,2606.8887
,589.00159,2142.874,1353.1213,1212.3966,2478.9634,5086.0942
,2778.1611,1251.0013,9603.1533,2553.5269,3806.1401,15651.45
,618.89954,4176.9785,4445.8364,2702.9375,9038.7158,8118.4229
,3079.1396,990.05408,2928.5156,1845.7533,3350.5552,15355.235
,2354.5967,1379.3652,1261.783,371.46204,5212.6069,5876.2319
,2175.5435,624.79266,1568.9824,1459.7346,1985.8313,644.83289
,1599.1252,3747.748,892.9447,1087.0969,4664.186,8026.0088
,629.86389,1673.5425,7013.1987,528.65662,3019.7529,2523.0735
,975.84167,2687.0178,1625.5586,2018.8625,2642.0439,3022.9866
,7128.0771,1277.4951,1373.0986,1165.8519,3601.6716,1506.8877
,579.93677,5747.7534,4207.7725,2239.5056,8317.8359,19833.594
,1302.5732,2714.1042,2206.896,1190.714,3813.5464,4937.897
,925.72278,3121.5027,2894.3762,1951.6255,2178.7461,2750.2974
,1308.632,2483.5771,3673.0813,2030.8752,2531.7793,2052.98
,3384.0867,4353.4648,2412.1184,3229.6858,9457.9482,3806.5361
,1350.0604,608.92743,1953.9388,1782.0272,9765.1191,5300.6758
,896.20636,5631.9683,9637.1504,4573.502,4984.0073,10739.332
,2687.5054,1503.3749,1982.9861,3016.4504,10896.413,3229.8564
,1123.1914,2592.4607,6107.5127,7014.73,9179.1807,5286.0166
,5809.6997,571.82977,2130.1353,1264.0356,6963.4771,6274.9785
,1933.6447,6045.3428,2714.9448,1954.7251,8629.9326,2995.7026
,1272.6766,6670.1772,1333.51,898.28003,16263.213,2921.5583
,562.98419,1335.3881,2148.6299,7682.123,15822.655,19417.662
,1287.8602,2014.7642,1462.1986,1819.8145,14723.729,6806.3301
,3453.2219,1280.9803,2284.1455,2020.8269,5321.7441,1629.9764
,2409.7915,6754.3018,1174.9282,805.67981,6105.6211,7620.5786
,1519.1549,2474.9795,2083.1482,3899.6108,10862.163,1236.335
,2968.501,2027.6479,1226.9226,664.34082,13556.128,1548.0518
,1912.1602,1670.3751,1213.6078,2668.1399,8988.2539,7568.394
,3284.3718,2924.2852,3093.4053,934.39404,7603.6152,10519.524
,694.263,633.33984,2016.4591,9050.1836,7898.7715,3303.7388
,2238.877,1364.048,1049.5658,4642.0459,1741.5166,513.375
,2907.0669,963.62457,3620.1978,1160.1146,7790.0557,14035.732
,15137.947,3489.2646,1458.5878,773.31567,9507.1289,1249.13
,1021.7354,569.91925,2962.9768,1925.7667,6007.1191,6632.0698
,560.94666,2442.6619,9617.8008,1513.9363,8248.9648,4679.4946
,1022.3485,2063.3462,2131.5522,2213.5889,7086.9165,4155.8413
,3592.1223,855.65765,664.34235,1502.3474,3797.9944,824.29193
,5646.814,2691.1506,731.56165,382.96854,7004.5654,1452.5249
,2512.6912,3037.2524,887.45221,563.97351,4891.8325,388.00299
,1963.543,581.54193,2460.0283,580.95618,5285.4839,1091.498
,1877.3608,3339.3547,1722.5432,1200.3712,4040.0227,2099.5127
,1398.7307,1653.2534,1027.6615,739.70215,5841.2153,2603.5071
,1467.021,2788.2839,959.42609,1234.1091,9701.4951,6125.2573
,2347.707,4929.4937,1714.2953,489.9433,14475.584,1747.948
,922.53003,3432.3965,9867.4961,1644.1121,5169.3613,19064.15
,1883.9834,1366.6528,974.86194,1956.673,2816.916,1090.8201
,553.76611,3250.4722,1267.6884,1442.8563,7438.3711,1273.3916
,1935.9026,3066.4272,6708.5879,1638.2043,5593.2881,4875.4351
,1010.0824,2332.3862,2285.6921,1872.7775,12325.019,2084.8154
,3244.3735,1670.729,4294.7568,1326.2041,2659.7334,10783.573
,7215.5361,3013.7871,7958.46,1021.0051,8044.8428,5393.8057
,9682.1592,2560.6748,538.48975,1986.0623,2335.4338,4344.0962
,3983.8516,1703.2473,3598.2937,2382.2913,11344.846,2252.5496
,12017.07,1767.6074,8363.2832,1616.0801,7477.6016,2748.8723
,6677.3438,2057.96,2700.9443,2443.6238,7216.2388,9852.8438
,8005.3398,3150.7788,1646.368,2451.6489,4126.0317,2091.8984
,4623.1704,1990.5629,2820.0671,1271.933,5692.3721,7759.9907
,3657.2078,2606.5012,4088.6484,919.32214,4129.0684,3047.5862
,17267.34,1125.0793,1194.6831,1393.9292,17587.055,7530.3765
,1545.6893,8009.9268,4415.0386,1295.9547,7491.084,3104.0947
,12397.098,116.47447,11702.045,1064.8564,7513.8921,11249.614
,7246.7725,659.64008,3790.4128,333.82724,12331.265,7643.8848
,1399.8021,2126.395,1128.9553,2441.9148,1500.2316,14190.105
,703.16858,1660.3419,826.15234,1436.4255,5333.4033,11657.035
,10696.34,2191.2207,6764.2495,2059.1033,14364.93,4023.4658
,2536.51,3344.9128,1599.4191,2077.7837,3021.4834,17957.58
,2187.0332,1812.8901,6115.561,2310.0559,2417.3916,20310.002
,961.95618,1865.8003,2768.2983,2132.2751,10544.307,15393.391
,2025.2915,4145.5391,5342.6792,2609.1885,3977.1223,6987.9521
,3821.3655,1144.702,5983.7783,4143.8027,3347.375,7118.2529
,4953.0562,971.7901,1201.0779,1922.3682,2811.4663,3795.8286
,20548.053,3390.6724,5643.6328,4662.9077,3887.8589,5345.4263
,1220.0121,6961.5635,2642.1956,1274.1207,8871.9062,3756.5642
,2234.5261,6573.562,4057.3376,1596.7203,14378.862,5635.6572
,514.57056,6548.5522,4957.7275,1305.8016,7484.4966,2340.6345
,2753.283,5775.293,2094.0491,488.06104,16667.197,3030.179
,3272.4106,4317.6221,4760.2832,1521.1398,2438.8372,2920.6353
,817.48981,938.96973,6449.3643,2064.8779,11076.571,2305.5212
,1226.205,11671.03,12425.017,1632.7499,10597.89,1288.4395
,1159.9977,3238.0042,13140.289,1730.1573,9705.1992,5790.1289
,1963.7468,2260.9604,5169.2822,1188.6241,15015.728,3195.6499
,1665.3864,12192.889,9337.252,3217.4714,3966.5186,668.72583
,485.20163,4547.4531,7812.4683,1536.4302,5572.4414,5405.7881
,5632.0264,7056.4639,3565.3049,3235.8184,949.59668,1951.7653
,885.45569,5952.7432,12276.08,815.03644,1228.2808,3359.7651
,717.71753,1492.1874,12583.873,790.67932,12250.793,20568.094
,3170.4397,3410.1304,7682.4141,1833.2156,17923.789,11647.976
,4311.3828,4439.6973,3753.4541,2634.7478,5823.2822,5569.1147
,730.04523,1391.7981,15759.434,3443.395,13430.628,6178.8403
,2748.4814,5560.5361,7954.2744,570.61145,5000.5723,7199.9287
,1317.292,848.99121,19314.398,1668.0453,4500.5903,15727.281
,736.76978,9948.9844,5179.0361,945.23584,16543.328,4846.1372
,6064.5107,3438.3162,4509.521,612.1239,7573.9434,12314.037
,666.44556,2140.2808,10394.168,2972.9124,8122.4951,2391.9634
,9249.6416,1977.6644,17926.455,855.88086,10677.981,3483.9023
,1497.6615,3744.1997,19501.828,2740.3521,858.73529,4070.4109
,2805.0337,4028.4812,6627.9741,2022.7297,30580.551,17141.775
,1926.8921,1553.4287,2492.9207,1718.1211,18096.863,3381.1602
,2843.7937,2059.9756,5474.8789,2473.8062,16783.121,1827.1497
,2560.8279,2286.041,4058.7454,3503.8411,13359.729,5767.7139
,18763.066,21221.502,2474.4443,1117.2048,4156.6123,12896.58
,2226.8599,2276.6406,3040.7883,1884.0345,5828.1787,4861.6855
,2120.1597,3901.0642,15687.985,807.59473,5916.4424,2726.5874
,1528.131,1891.2803,16299.978,1820.3937,5673.2593,926.0589
,667.70227,2004.413,528.32977,1612.2517,6465.6523,6679.1382
,970.07599,6379.4624,339.47397,1610.548,1612.4625,1269.1569
,1370.0781,9051.7695,1663.338,3111.1169,17049.721,3157.0596
,7168.6006,2640.4609,1605.3745,1286.5426,1007.9407,5200.498
,1416.9136,18814.98,1735.2072,1157.3032,8555.2412,6140.646
,2495.751,9866.5469,1770.9346,1517.7949,9585.8398,16212.603
,1262.7377,17006.527,1596.9684,1697.8318,2345.9805,4559.7988
,670.34833,15094.356,2854.7598,1541.8533,1895.4021,3280.363
,1973.1106,1207.1005,1720.944,650.38544,8150.5869,13274.729
,952.31274,4776.4834,1331.6187,1348.6215,7227.145,1555.4762
,807.61841,2914.8665,1746.7043,1571.8546,25500.785,9355.5361
,1231.2316,1304.1248,1514.1725,1907.389,2993.0789,1586.5927
,968.10803,4414.0317,2767.8333,2407.782,4548.0171,8435.6738
,1291.6174,1917.9012,1910.4623,1775.3234,2939.0034,3789.7871
,2320.6538,3409.6372,2132.96,265.56339,6449.9829,6164.918
,1590.6982,7520.875,10539.188,1398.1271,3350.7607,7809.9321
,729.56036,7147.2739,1983.5852,2564.4238,3563.1069,3298.4497
,2519.8428,4164.2671,693.51257,1045.9072,15101.379,3575.5657
,1176.551,5783.3555,1071.991,2707.4314,8031.9727,22964.072
,1400.8822,3636.0505,1311.2161,541.17499,9708.7715,3427.1978
,672.49835,2787.1379,2015.1312,1072.0905,5077.2393,3739.6465
,1376.3845,1348.1074,1627.9105,771.33289,3716.1614,6759.4473
,1152.9896,5603.394,1080.6898,2515.6284,4524.9658,3613.2932
,568.15692,7360.041,1297.5117,1108.2205,934.96362,6026.6753
,1106.9275,13937.5,4249.5049,1718.5615,6330.6611,3204.3887
,2367.2083,21840.627,2517.4475,1461.0229,3971.5786,5375.1099
,1170.9109,3534.5942,2033.3889,2377.7026,8099.6294,6435.0776
,519.09949,4709.7651,4735.6558,905.26917,14220.902,2799.7249
,2493.4473,15981.758,2195.4609,1576.5331,9204.3428,4204.3262
,525.88562,4548.23,786.2688,1918.0906,3096.063,1354.905
,1677.1632,17915.85,1444.8894,1732.0192,7315.0449,14645.627
,1401.4922,5724.3198,1609.2562,2339.968,8973.7314,17730.385
,2024.9054,6015.7715,1650.298,1690.8885,8132.1113,946.62219
,725.77051,18292.295,3101.208,2449.7478,1189.0612,3950.0464
,2489.1704,5642.6074,9406.1006,1669.5253,7678.8701,2129.0166
,348.18228,2678.0461,6632.6406,1674.7056,13199.398,4581.9087
,3131.1082,2598.2961,1705.3368,1731.4338,2255.3767,6687.1118
,7156.8364,6784.8066,7864.7134,1054.7754,22479.873,1684.6656
,4956.9946,1494.7369,2809.4529,3488.144,8304.917,6347.147
,810.91333,26656.35,2967.6877,1131.1276,15518.733,3810.6294
,3590.6594,6102.8154,2036.9001,1254.6846,13211.855,1282.4481
